id	amount	customer_id	transaction_status_id	created_at	agent_company_id	commission_amount	transaction_from	transaction_type_id	transaction_description_id	vat
22	23.6	5	3	2012-07-18 15:57:52	NULL	NULL	1	3	8	3.6
49	41.3	5	3	2012-07-25 16:10:13	NULL	NULL	2	1	4	6.3
26	23.6	7	3	2012-07-20 10:04:59	NULL	NULL	1	3	8	3.6
30	0	7	3	2012-07-23 12:02:07	1	0	1	5	13	0
747	2.49986	7	3	2013-03-20 18:04:36	1	0	1	5	15	0.43386
27	23.6	8	3	2012-07-21 21:14:45	NULL	NULL	1	3	8	3.6
28	23.6	9	3	2012-07-22 20:44:30	NULL	NULL	1	3	8	3.6
31	14.75	9	3	2012-07-23 17:40:47	NULL	NULL	2	1	4	2.25
355	121	9	1	2012-09-14 18:54:26	NULL	NULL	1	1	9	21
374	24.2	9	1	2012-09-18 10:31:29	NULL	NULL	1	1	9	4.2
375	24.2	9	3	2012-09-18 10:50:09	NULL	NULL	1	1	9	4.2
406	24.2	9	1	2012-10-28 10:11:42	NULL	NULL	1	1	9	4.2
407	24.2	9	1	2012-10-28 10:51:26	NULL	NULL	1	1	9	4.2
408	24.2	9	1	2012-10-28 11:03:58	NULL	NULL	1	1	9	4.2
409	24.2	9	1	2012-10-28 11:12:22	NULL	NULL	1	1	9	4.2
410	24.2	9	1	2012-10-28 11:22:30	NULL	NULL	1	1	9	4.2
411	24.2	9	3	2012-10-28 11:23:48	NULL	NULL	1	1	9	4.2
47	23.6	18	3	2012-07-25 10:34:12	NULL	NULL	1	3	8	3.6
982	20.00009	18	3	2013-06-05 18:14:18	NULL	NULL	1	1	9	3.47109
